epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,151.452,1.41467,1.90278,2.00488,1.3223,0,0.47742,0.52209,0.40204,0.14202,0.38418,0.4257,0.23386,0.05427,2.0541,1.42217,2.60983,1.78815,0,0.000665233,0.000665233,0.000665233
2,290.442,1.46158,1.80265,1.54162,1.33834,0,0.58565,0.51087,0.47735,0.18365,0.53305,0.46586,0.37068,0.09728,2.03413,1.39127,2.00688,1.78103,0,0.00130553,0.00130553,0.00130553
3,421.236,1.43506,1.76201,1.43085,1.32888,0,0.43459,0.43373,0.37731,0.12318,0.47719,0.46988,0.35843,0.08578,2.23569,1.47717,2.19463,1.93364,0,0.00191942,0.00191942,0.00191942
4,584.38,1.35478,1.73107,1.34777,1.2929,0,0.64718,0.58934,0.5696,0.27767,0.54065,0.4739,0.38882,0.10585,1.66611,1.38146,1.64611,1.51227,0,0.0018812,0.0018812,0.0018812
5,737.67,1.28184,1.68415,1.24173,1.25368,0,0.55317,0.61044,0.53284,0.26466,0.52757,0.56627,0.39766,0.10641,1.76811,1.34537,1.9834,1.54723,0,0.0018416,0.0018416,0.0018416
6,908.738,1.23884,1.63007,1.20879,1.23226,0,0.65684,0.65863,0.62959,0.35696,0.55744,0.57162,0.45988,0.14174,1.5068,1.26522,1.57717,1.38359,0,0.001802,0.001802,0.001802
7,1102.98,1.2098,1.65377,1.16717,1.21848,0,0.75143,0.61916,0.66034,0.38153,0.65482,0.53012,0.47681,0.14383,1.52931,1.28949,1.46851,1.36922,0,0.0017624,0.0017624,0.0017624
8,1297.76,1.17318,1.62231,1.12018,1.20555,0,0.70419,0.6788,0.68428,0.39818,0.63108,0.5502,0.49291,0.14502,1.54318,1.30231,1.4399,1.49327,0,0.0017228,0.0017228,0.0017228
9,1492.83,1.14656,1.63124,1.09891,1.1859,0,0.77117,0.68675,0.70277,0.41461,0.64376,0.58786,0.49742,0.17051,1.44779,1.30091,1.32488,1.31587,0,0.0016832,0.0016832,0.0016832
10,1689.34,1.11888,1.60587,1.06158,1.17476,0,0.75594,0.66667,0.6986,0.41071,0.67069,0.57831,0.52866,0.14629,1.39368,1.27648,1.36634,1.31195,0,0.0016436,0.0016436,0.0016436
11,1895.91,1.09661,1.57908,1.04069,1.16809,0,0.64518,0.68675,0.64104,0.35482,0.54992,0.58635,0.47392,0.1341,1.43308,1.26564,1.4336,1.35676,0,0.001604,0.001604,0.001604
12,2102.62,1.07267,1.55802,1.02078,1.15822,0,0.68846,0.67448,0.6887,0.40184,0.59787,0.5743,0.4929,0.15281,1.34544,1.26667,1.33266,1.32894,0,0.0015644,0.0015644,0.0015644
13,2294.14,1.07177,1.54503,1.01942,1.169,0,0.75231,0.6709,0.69005,0.43525,0.65324,0.58255,0.50579,0.16093,1.30863,1.25931,1.27676,1.28022,0,0.0015248,0.0015248,0.0015248
14,2461.48,1.05316,1.56864,1.00024,1.14897,0,0.69058,0.68675,0.71454,0.45225,0.62092,0.57831,0.52414,0.16292,1.25039,1.28154,1.31101,1.20519,0,0.0014852,0.0014852,0.0014852
15,2625.43,1.02496,1.51815,0.96841,1.14339,0,0.82309,0.68273,0.71734,0.46228,0.68694,0.56627,0.50513,0.15323,1.30571,1.29346,1.29628,1.21836,0,0.0014456,0.0014456,0.0014456
16,2793.21,1.01229,1.52465,0.95279,1.12807,0,0.8172,0.68273,0.74243,0.49894,0.73186,0.59036,0.57935,0.18992,1.22872,1.2484,1.26661,1.20858,0,0.001406,0.001406,0.001406
17,2964.63,1.03574,1.55189,0.97218,1.14147,0,0.78423,0.72982,0.7403,0.47907,0.66188,0.58962,0.51441,0.17414,1.26131,1.28758,1.22722,1.21255,0,0.0013664,0.0013664,0.0013664
18,3127.18,1.00125,1.52097,0.94054,1.12459,0,0.79528,0.65863,0.72415,0.48335,0.6884,0.55823,0.5386,0.17759,1.26494,1.26475,1.22082,1.20373,0,0.0013268,0.0013268,0.0013268
19,3293.54,0.99422,1.5075,0.93848,1.12527,0,0.76963,0.72289,0.73929,0.48364,0.65874,0.59839,0.53869,0.1625,1.24968,1.27091,1.2149,1.22544,0,0.0012872,0.0012872,0.0012872
20,3460.47,0.98866,1.53276,0.92075,1.11766,0,0.77314,0.71173,0.73344,0.49805,0.66408,0.61132,0.56049,0.1647,1.16846,1.24634,1.14906,1.17054,0,0.0012476,0.0012476,0.0012476
21,3638.18,0.97741,1.50674,0.90037,1.11044,0,0.81375,0.73699,0.77679,0.52132,0.69487,0.63454,0.58134,0.19075,1.14988,1.22592,1.12347,1.18056,0,0.001208,0.001208,0.001208
22,3801.25,0.96978,1.50132,0.90893,1.11167,0,0.725,0.75175,0.74316,0.4853,0.66265,0.61044,0.56425,0.17966,1.19973,1.20494,1.1737,1.22554,0,0.0011684,0.0011684,0.0011684
23,3959.45,0.96896,1.50269,0.89713,1.11039,0,0.82776,0.73092,0.77311,0.54197,0.73554,0.61847,0.60759,0.19055,1.11354,1.21948,1.14295,1.14342,0,0.0011288,0.0011288,0.0011288
24,4114.96,0.95626,1.49531,0.88594,1.10521,0,0.79969,0.7215,0.76554,0.54045,0.66968,0.6025,0.56336,0.18962,1.1016,1.22737,1.1623,1.11029,0,0.0010892,0.0010892,0.0010892
25,4269.66,0.9479,1.49215,0.87957,1.09781,0,0.78745,0.72904,0.76579,0.50893,0.6731,0.61446,0.57705,0.18779,1.13912,1.2204,1.13421,1.15403,0,0.0010496,0.0010496,0.0010496
26,4428.96,0.9339,1.45582,0.86147,1.09801,0,0.7883,0.74699,0.7546,0.51817,0.68858,0.6506,0.57585,0.17723,1.08766,1.23657,1.08423,1.11553,0,0.00101,0.00101,0.00101
27,4583.14,0.93881,1.47914,0.85618,1.09791,0,0.77573,0.70281,0.75933,0.52941,0.67269,0.61079,0.60083,0.18769,1.12203,1.20306,1.12862,1.16366,0,0.0009704,0.0009704,0.0009704
28,4738.03,0.92438,1.46846,0.83819,1.08647,0,0.82264,0.71084,0.76787,0.54466,0.7216,0.62651,0.60291,0.19248,1.04033,1.2125,1.0647,1.09264,0,0.0009308,0.0009308,0.0009308
29,4895.33,0.9135,1.46687,0.83339,1.08723,0,0.85056,0.73144,0.78926,0.5659,0.74991,0.63052,0.62206,0.2023,1.03012,1.20516,1.03499,1.08507,0,0.0008912,0.0008912,0.0008912
30,5054.82,0.91226,1.47347,0.82201,1.08236,0,0.85203,0.69478,0.76769,0.55722,0.76233,0.60241,0.60994,0.19783,1.03233,1.2269,1.05838,1.08782,0,0.0008516,0.0008516,0.0008516
31,5213.2,0.90565,1.46462,0.8214,1.08015,0,0.79936,0.73599,0.77791,0.55737,0.70937,0.58814,0.59686,0.20465,1.03028,1.23349,1.058,1.08819,0,0.000812,0.000812,0.000812
32,5368.58,0.91719,1.48367,0.8499,1.09321,0,0.88212,0.7213,0.79256,0.57536,0.76299,0.63454,0.63609,0.2131,1.03369,1.20183,1.03683,1.123,0,0.0007724,0.0007724,0.0007724
33,5517.07,0.89314,1.47208,0.82381,1.08269,0,0.79684,0.73092,0.77972,0.56804,0.69885,0.60643,0.61707,0.21309,1.03142,1.18917,1.05372,1.07865,0,0.0007328,0.0007328,0.0007328
34,5665.86,0.88873,1.45235,0.80851,1.07751,0,0.85163,0.73766,0.7933,0.55916,0.75113,0.64244,0.6561,0.21259,1.07774,1.21388,1.04159,1.1046,0,0.0006932,0.0006932,0.0006932
35,5813.79,0.88679,1.44111,0.80203,1.07591,0,0.73118,0.76465,0.78028,0.57959,0.72275,0.64659,0.66362,0.22454,0.97529,1.19352,1.04503,1.03005,0,0.0006536,0.0006536,0.0006536
36,5961.13,0.87412,1.45348,0.79121,1.06678,0,0.86305,0.71084,0.79198,0.57708,0.76867,0.62249,0.64661,0.21298,1.00432,1.18189,1.0248,1.06067,0,0.000614,0.000614,0.000614
37,6109.05,0.87315,1.44726,0.7753,1.07122,0,0.82642,0.72289,0.79293,0.59398,0.71541,0.65623,0.6395,0.20563,0.97103,1.20402,0.99839,1.04504,0,0.0005744,0.0005744,0.0005744
38,6258.2,0.85709,1.42951,0.77247,1.06786,0,0.81186,0.75502,0.80322,0.59334,0.72415,0.65367,0.65505,0.22574,0.98715,1.17296,0.96276,1.03734,0,0.0005348,0.0005348,0.0005348
39,6408.5,0.85238,1.44288,0.75693,1.06006,0,0.80412,0.73494,0.78507,0.58756,0.71291,0.6506,0.63364,0.21724,0.95308,1.19256,0.95573,1.04528,0,0.0004952,0.0004952,0.0004952
40,6557.03,0.85412,1.42695,0.77094,1.05782,0,0.84576,0.74875,0.81043,0.61885,0.761,0.63855,0.66602,0.22626,0.94436,1.17236,0.96587,1.02012,0,0.0004556,0.0004556,0.0004556
41,6693.63,0.7873,1.08906,0.80937,1.14429,0,0.89049,0.71084,0.79895,0.59868,0.78147,0.62249,0.64096,0.22049,0.93548,1.18143,0.96627,0.99997,0,0.000416,0.000416,0.000416
42,6829.53,0.76304,1.06025,0.76496,1.13528,0,0.85551,0.71335,0.79401,0.60572,0.76149,0.63454,0.63743,0.21664,0.95333,1.18091,0.98409,1.01766,0,0.0003764,0.0003764,0.0003764
43,6969.24,0.75697,1.07028,0.75279,1.12797,0,0.85127,0.751,0.80601,0.61151,0.7238,0.63855,0.6255,0.21722,0.92299,1.17912,0.94593,0.97578,0,0.0003368,0.0003368,0.0003368
44,7108.14,0.7384,1.06319,0.74036,1.11655,0,0.86717,0.73413,0.80858,0.60415,0.75793,0.6413,0.63437,0.21672,0.92814,1.18403,0.92037,0.9934,0,0.0002972,0.0002972,0.0002972
45,7250.2,0.72083,1.05112,0.71076,1.09902,0,0.80185,0.76305,0.80863,0.61396,0.77067,0.60643,0.64537,0.22528,0.92009,1.17342,0.91591,0.98736,0,0.0002576,0.0002576,0.0002576
46,7390.16,0.7131,1.04468,0.6963,1.10408,0,0.81422,0.74297,0.80032,0.60226,0.75019,0.6392,0.64232,0.22244,0.96064,1.17607,0.90327,1.0326,0,0.000218,0.000218,0.000218
47,7529.65,0.71258,1.0466,0.69423,1.10556,0,0.83987,0.77937,0.82352,0.63196,0.78074,0.6721,0.66717,0.23334,0.91619,1.16268,0.88362,0.98041,0,0.0001784,0.0001784,0.0001784
48,7669.35,0.70604,1.05721,0.68718,1.09883,0,0.84538,0.73896,0.80169,0.60804,0.74451,0.6506,0.65094,0.22671,0.92606,1.17115,0.90642,0.99775,0,0.0001388,0.0001388,0.0001388
49,7808.87,0.68257,1.03655,0.66543,1.08698,0,0.84139,0.73092,0.80014,0.60724,0.72058,0.65462,0.64998,0.22234,0.92829,1.1763,0.91043,0.99474,0,9.92e-05,9.92e-05,9.92e-05
50,7949.02,0.66704,1.04023,0.6569,1.07825,0,0.819,0.74509,0.79919,0.61992,0.72507,0.65863,0.64848,0.22293,0.90888,1.17346,0.90569,0.98752,0,5.96e-05,5.96e-05,5.96e-05
