epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8088,1.34505,1.93326,2.01205,1.29035,0,0.51411,0.49717,0.44284,0.1483,0.40514,0.40562,0.27479,0.06866,2.00136,1.3745,2.61902,1.93989,0,0.000663805,0.000663805,0.000663805
2,170.85,1.41373,1.7507,1.54154,1.31895,0,0.396,0.55422,0.31065,0.12617,0.30051,0.39357,0.15659,0.03375,1.82054,1.57048,2.55889,1.60904,0,0.00130413,0.00130413,0.00130413
3,240.84,1.40486,1.70763,1.39897,1.30716,0,0.30432,0.50602,0.29468,0.11905,0.21911,0.41767,0.14145,0.03276,1.76072,1.51373,2.29409,1.54818,0,0.00191805,0.00191805,0.00191805
4,311.846,1.35774,1.69985,1.32325,1.29358,0,0.59135,0.60643,0.55445,0.28504,0.46092,0.48594,0.31134,0.0793,1.80206,1.57398,2.0094,1.58599,0,0.0018812,0.0018812,0.0018812
5,380.875,1.27615,1.66302,1.23729,1.25042,0,0.74974,0.59036,0.64781,0.33481,0.60083,0.49398,0.43932,0.12337,1.59799,1.41207,1.60034,1.4443,0,0.0018416,0.0018416,0.0018416
6,454.979,1.21852,1.64585,1.19928,1.22325,0,0.69336,0.62651,0.65061,0.35607,0.59448,0.52988,0.47427,0.13942,1.65147,1.29005,1.62115,1.46587,0,0.001802,0.001802,0.001802
7,525.773,1.16262,1.60371,1.12342,1.19819,0,0.73954,0.6747,0.70186,0.39712,0.61069,0.5502,0.45538,0.13672,1.48732,1.37324,1.43627,1.42347,0,0.0017624,0.0017624,0.0017624
8,596.895,1.13343,1.5946,1.08515,1.17634,0,0.74114,0.64659,0.69429,0.3997,0.57417,0.56627,0.47747,0.15684,1.46452,1.48156,1.35157,1.3819,0,0.0017228,0.0017228,0.0017228
9,668.164,1.10854,1.58357,1.0542,1.17439,0,0.78166,0.61825,0.66961,0.35507,0.70688,0.53414,0.52365,0.16137,1.5633,1.28587,1.43566,1.37048,0,0.0016832,0.0016832,0.0016832
10,739.928,1.08684,1.5728,1.03632,1.16251,0,0.76896,0.65863,0.69647,0.38133,0.64225,0.56238,0.50703,0.14085,1.51157,1.30423,1.46854,1.43119,0,0.0016436,0.0016436,0.0016436
